Name;Measure;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;
Азу из говядины с картофелем;шт.;0.00000000000000000;0.00000000000000000;522116.98040085175307468;892200.24508259585127234;1255137.47990690846927464;1621952.32096202368848026;1993750.70317236287519336;2371349.94732547551393509;2755363.42102090129628778;3146260.66096136393025517;3544409.96445118729025126;3950108.53694653138518333;4363603.83545951638370752;4785108.65290136914700270;5214811.79033924825489521;5652885.62532792985439301;6099491.44633972644805908;6554783.25913725700229406;7018910.45633172057569027;7492019.73520689550787210;7974256.44199905917048454;8465765.54559412226080894;8966692.32004860043525696;9477182.84782155789434910;9997384.37102155014872551;10527445.54878185130655766;11067516.65758663602173328;11617749.73491519503295422;12178298.68337940238416195;12749319.34200242534279823;13330969.59610089845955372;13923409.39195197634398937;14526800.80256255157291889;15141308.06912127695977688;15767097.63597768358886242;16404338.19869367592036724;17053200.72492206841707230;17713858.49738792702555656;17517766.51131325587630272;17611108.96314433589577675;17704556.83218688517808914;17798109.31689431518316269;17891761.30961531400680542;17985506.17161783576011658;18079336.63264670222997665;18173245.10242658108472824;18267223.79376810789108276;18361264.73463392630219460;18455359.77016266435384750;18549500.57686559110879898;18643678.65878517180681229;18737885.34635234996676445;18832111.80798566713929176;18926349.00722518563270569;19020587.74070012196898460;19114818.61747388541698456;19209032.05159525945782661;19303218.26820023357868195;19397367.30200066044926643;19491469.00006727501749992;
Баклажаны с томатом Неаполь;шт.;0.00000000000000000;0.00000000000000000;376413.27984429243952036;643219.87818052887450904;904874.64151054143439978;1169324.91315760440193117;1437368.00295885535888374;1709593.14632299891673028;1986442.54366828245110810;2268254.69993677875027061;2555295.13468543486669660;2847778.11438872711732984;3145882.04015631973743439;3449760.32172241993248463;3759549.07268803054466844;4075372.56727468268945813;4397347.08336947672069073;4725583.64936477225273848;5060189.96781628951430321;5401271.79823871422559023;5748933.92601137328892946;6103280.86400728393346071;6464417.34663887973874807;6832448.69008417706936598;7207481.04822783824056387;7589621.59184128977358341;7978978.66062813438475132;8375661.86587121989578009;8779782.16074449755251408;9191451.89538864977657795;9610784.89525965042412281;10037896.47094241902232170;10472903.47036086209118366;10915924.29645137116312981;11367078.94507378153502941;11826489.03604921884834766;12294277.83034985512495041;12770570.24746651947498322;12629200.34359014779329300;12696494.33901275694370270;12763864.33500318787992001;12831309.75462346337735653;12898826.90813903883099556;12966411.01694049872457981;13034056.84046998433768749;13101758.89877131208777428;13169511.58262130804359913;13237309.14673371799290180;13305145.70936664566397667;13373015.26926054991781712;13440911.70327781513333321;13508828.75810183398425579;13576760.07270330376923084;13644699.12332200072705746;13712639.28208827599883080;13780573.77700442075729370;13848495.69677554443478584;13916397.99710156023502350;13984273.48815948516130447;14052114.85270032100379467;
Лапша куриная;шт.;0.00000000000000000;0.00000000000000000;282205.37068078236188740;482236.18525433441391215;678404.55505095166154206;876668.77955977199599147;1077626.61892414418980479;1281719.83678748994134367;1489279.95949712791480124;1700560.77334183105267584;1915761.34377038409002125;2135042.30992212612181902;2358537.42347570741549134;2586361.69998238841071725;2818617.18621369358152151;3055397.05307194404304028;3296788.47651088563725352;3542874.69821059843525290;3793736.46378363249823451;4049453.06431025452911854;4310103.05983230005949736;4575764.80643369723111391;4846516.82448924984782934;5122438.07254023756831884;5403608.13447740301489830;5690107.36176309175789356;5982016.97757977060973644;6279419.16028334386646748;6582397.09437758661806583;6891035.00876014027744532;7205418.24404213484376669;7525633.25015210639685392;7851767.62873311899602413;8183910.15243363566696644;8522150.78227286413311958;8866580.69998192228376865;9217292.31622023880481720;9574379.28991603106260300;9468391.14070338197052479;9518842.93994538113474846;9569351.71933645755052567;9619917.04213435202836990;9670536.14804324321448803;9721205.45166511274874210;9771921.02172776497900486;9822678.75375394150614738;9873474.44058295525610447;9924303.77662888914346695;9975162.35005822218954563;10026045.66341295465826988;10076949.12222486734390259;10127868.04129522293806076;10178797.65034915879368782;10229733.06211526133120060;10280669.30444765836000443;10331601.30001231469213963;10382523.86745790019631386;10433431.72466660290956497;10484319.48112362995743752;10535181.65510647930204868;
Плов с курицей;шт.;0.00000000000000000;0.00000000000000000;470011.08953845297219232;803161.02524724847171456;1129878.08594197221100330;1460085.77821200271137059;1794779.66732966084964573;2134695.50751272775232792;2480385.45426739612594247;2832272.18586242850869894;3190687.24419427616521716;3555898.17414028104394674;3928127.73782675759866834;4307567.49147970322519541;4694387.39445777889341116;5088742.62176013644784689;5490778.36593032628297806;5900633.26247300114482641;6318441.79612963180989027;6744336.02131957281380892;7178446.78283671662211418;7620904.58090322371572256;8071840.19117968715727329;8531385.11656171269714832;8999671.90600474551320076;9476834.38315292075276375;9963007.82745132781565189;10458329.10265631042420864;10962936.75124266184866428;11476971.06233129277825356;12000574.16128599829971790;12533890.03498714044690132;13077064.58306450210511684;13630245.65409276075661182;14193583.08028310164809227;14767228.72383392229676247;15351336.48946467041969299;15946062.36690115183591843;15769539.84278437308967113;15853566.96373958699405193;15937688.98240347765386105;16021905.17816714197397232;16106210.95162694528698921;16190600.32401393912732601;16275066.75380647554993629;16359603.40715527348220348;16444203.27291368320584297;16528859.17755269259214401;16613563.77637313306331635;16698309.58142905496060848;16783088.94144754484295845;16867894.05089259520173073;16952716.96086224913597107;17037549.53651345148682594;17122383.49474174901843071;17207210.37949818000197411;17292021.56133026629686356;17376808.24447933211922646;17461561.45445360988378525;17546272.05153073742985725;
Суп гороховый с копченостями;шт.;0.00000000000000000;0.00000000000000000;171101.76950301454053260;292380.91541756410151720;411318.25214992376277223;531526.31037352920975536;653367.51351069135125726;777109.70381713903043419;902953.88654951809439808;1031053.93316699343267828;1161530.53776749921962619;1294481.09494801936671138;1429986.69908447493799031;1568117.08547528251074255;1708934.12445820472203195;1852494.30665669334121048;1998850.48511166404932737;2148053.13086847448721528;2300151.19948342489078641;2455192.76629533758386970;2613225.46220320696011186;2774296.79412000020965934;2938454.36941549694165587;3105746.06101266387850046;3276220.12148128496482968;3449925.26595632871612906;3626910.74101263936609030;3807226.37260356312617660;3990922.59618199244141579;4178050.47657603118568659;4368661.75907805189490318;4562808.85992473457008600;4760544.88922129478305578;4961923.67103554215282202;5166999.74696037266403437;5375828.40241276845335960;5588465.66655382979661226;5804968.32717812154442072;5740707.46592619083821774;5771296.50785803329199553;5801920.09930715709924698;5832577.97242220398038626;5863268.45220381394028664;5893989.36822719033807516;5924738.33678969368338585;5955512.86557506490498781;5986310.40743121691048145;6017128.35248181689530611;6047964.02452807966619730;6078814.69584962166845798;6109677.58100846037268639;6140549.83738471940159798;6171428.57744738366454840;6202310.83456035424023867;6233193.59644339885562658;6264073.78504393994808197;6294948.25608880445361137;6325813.80692281294614077;6356667.16993536334484816;6387505.02290971949696541;
Фрикасе из курицы с зеленым горошком;шт.;0.00000000000000000;0.00000000000000000;531202.97468494193162769;907726.50956236920319498;1276979.65780571312643588;1650177.89142604777589440;2028446.39081794139929116;2412616.69990487722679973;2803312.86017633695155382;3201012.57993600424379110;3606090.56475355569273233;4018849.19272734224796295;4439540.22741353139281273;4868380.16392429266124964;5305561.08923826180398464;5751258.38106072321534157;6205636.13541125040501356;6668851.03660185728222132;7141055.07740747276693583;7622397.50699452776461840;8113026.20254257135093212;8613088.65559595823287964;9122732.66794627346098423;9642106.86291908472776413;10171361.04621641524136066;10710646.46548070944845676;11260116.01125142909586430;11819924.36605099774897099;12390228.10894619673490524;12971185.79640361107885838;13562958.05474225804209709;14165707.61684318445622921;14779599.37788737006485462;15404800.43664894066751003;16041480.12993485294282436;16689810.09276602417230606;17349964.26688627898693085;18022118.95114441588521004;17822614.53031935915350914;17917581.34586974233388901;18012655.41459014266729355;18107835.92159244418144226;18203117.66837177053093910;18298493.89851297438144684;18393957.21741931512951851;18489499.90378287434577942;18585114.03142745792865753;18680791.49306083843111992;18776523.98911306262016296;18872303.05573683232069016;18968120.04673067480325699;19063966.14100575447082520;19159832.35134880989789963;19255709.48515747115015984;19351588.18351849913597107;19447458.88625812157988548;19543311.84096191450953484;19639137.10740171000361443;19734924.54490514472126961;19830663.82123077660799026;
