Name;Measure;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;
Азу из говядины с картофелем;шт.;0.00000000000000000;0.00000000000000000;174038.99346695057465695;355413.07951651548501104;536850.18647447461262345;719600.83581216610036790;904450.51299484295304865;1091933.48677343945018947;1282432.30259811365976930;1476230.98785315919667482;1673546.98410144890658557;1874551.84034932660870254;2079385.22526961448602378;2288164.62605699477717280;2500992.13879874767735600;2717959.25470889266580343;2939150.23368287319317460;3164644.49760671006515622;3394518.31797947688028216;3628846.01772879110649228;3867700.81990928342565894;4111155.45516780158504844;4359282.59173880051821470;4612155.14652012009173632;4869846.50584722310304642;5132430.68487635813653469;5399982.44748766440898180;5672577.39413428585976362;5950292.02583789639174938;6233203.78928010724484921;6521391.12846033554524183;6814933.50680410396307707;7113911.43645555246621370;7418406.50185894314199686;7728501.37927887495607138;8044279.85932418331503868;8365826.86141541693359613;8693228.45293444767594337;8736998.32141590118408203;8782702.42818674631416798;8829086.42012454383075237;8875731.91233962029218674;8922497.74065164476633072;8969334.63742315955460072;9016223.75668995454907417;9063156.28637217916548252;9110126.69338009506464005;9157130.47600467316806316;9204163.41538911312818527;9251221.33075156807899475;9298299.99651224538683891;9345395.11428819783031940;9392502.30742462165653706;9439617.10488326847553253;9486734.94852779619395733;9533851.18866722658276558;9580961.08008749596774578;9628059.78276257589459419;9675142.36158774606883526;9722203.78721833974123001;
Баклажаны с томатом Неаполь;шт.;0.00000000000000000;0.00000000000000000;125471.09328143081802409;256230.32382065322599374;387034.98844373156316578;518786.63386711198836565;652051.54560865578241646;787214.89731055148877203;924552.48032627801876515;1064269.06008768570609391;1206521.39825770677998662;1351433.17088214471004903;1499105.07034615473821759;1649621.79735619155690074;1803056.95668140728957951;1959476.50798536324873567;2118941.19711827998980880;2281508.28216101741418242;2447232.74999243579804897;2616168.18274371651932597;2788367.36958502978086472;2963882.74453077139332891;3142766.69705655006691813;3325071.79571357602253556;3510850.94798047142103314;3700157.51327392039820552;3893045.39130068477243185;4089569.08572396822273731;4289783.74882282223552465;4493745.21473715733736753;4701510.03666560258716345;4913135.50253600720316172;5128679.65763228945434093;5348201.31802788749337196;5571760.08770055603235960;5799416.37458325829356909;6031231.40164437051862478;6267267.21637029666453600;6298822.51998681481927633;6331772.28633319027721882;6365212.20711212605237961;6398840.65391186345368624;6432555.85401696711778641;6466322.29031915497034788;6500126.37692971341311932;6533961.75856700912117958;6567824.44706277176737785;6601711.19793216325342655;6635618.96909960359334946;6669544.74612005054950714;6703485.48313262220472097;6737438.08041148539632559;6771399.38437159638851881;6805366.16923119965940714;6839335.15043982490897179;6873302.97581474855542183;6907266.22419676464051008;6941221.40709944162517786;6975164.96508630830794573;7009093.27259554341435432;
Лапша куриная;шт.;0.00000000000000000;0.00000000000000000;94068.45689359412062913;192101.54738264286424965;290168.70081119815586135;388945.82679032336454839;488857.48190482251811773;590192.43956410419195890;693157.46635374403558671;797906.07989852502942085;904555.80788963637314737;1013199.37260392087046057;1123912.26535987597890198;1236757.98844742146320641;1351791.72488703834824264;1469062.92598632746376097;1588617.13416573777794838;1710497.27745877858251333;1834744.58041413710452616;1961399.21490813069976866;2090500.75824681040830910;2222088.52156016929075122;2356201.78201647289097309;2492879.95151890348643064;2632162.69533210247755051;2774090.01903173141181469;2918702.33220383385196328;3066040.49749572621658444;3216145.86395777110010386;3369060.29090597014874220;3524826.17831603530794382;3683486.47615604707971215;3845084.70162972202524543;4009664.95135445287451148;4177271.91120910551398993;4347950.87039700895547867;4521747.72887241560965776;4698709.00626281555742025;4722366.71565539948642254;4747069.88520026020705700;4772140.53484557289630175;4797352.52565997466444969;4822629.55790107231587172;4847945.00318872835487127;4873288.67497216444462538;4898655.80957536865025759;4924043.41671944130212069;4949449.06444944348186255;4974870.47150255553424358;5000305.37830516975373030;5025751.50017667934298515;5051206.51382396742701530;5076668.05472437571734190;5102133.70561321265995502;5127601.00335362367331982;5153067.43445531278848648;5178530.43397107068449259;5203987.38621255755424500;5229435.62244539614766836;5254872.42585062514990568;
Плов с курицей;шт.;0.00000000000000000;0.00000000000000000;156670.36317948432406411;319943.79614224424585700;483273.96069473883835599;647786.57963558041956276;814188.74898841383401304;982961.41883371386211365;1154448.95770037011243403;1328907.04785426612943411;1506531.43068284727632999;1687476.53494104277342558;1871868.09092260012403131;2059811.86080076801590621;2251399.75175284873694181;2446714.12450432870537043;2645830.83014488499611616;2848821.36420596204698086;3055754.38677853113040328;3266696.80269936798140407;3481714.52851202804595232;3700873.03647175058722496;3924237.74255047924816608;4151874.28637073049321771;4383848.73079182486981153;4620227.70464824885129929;4861078.51069985888898373;5106469.20445205643773079;5356468.65189823880791664;5611146.57140984386205673;5870573.57756528072059155;6134821.20418414007872343;6403961.92908288072794676;6678069.19439188018441200;6957217.42489166092127562;7241482.04957519378513098;7530939.51301328837871552;7825667.29330481309443712;7865069.04536306206136942;7906212.00303421635180712;7947966.99514589831233025;7989957.39110434707254171;8032056.11424376443028450;8074218.81275256816297770;8116428.52218634821474552;8158677.30978054087609053;8200960.19423140771687031;8243273.12392803374677896;8285612.30010038893669844;8327973.96050981432199478;8370354.30065245274454355;8412749.45051501691341400;8455155.47045908868312836;8497568.33565751276910305;8539983.94346642121672630;8582398.10765486769378185;8624806.55632837861776352;8667204.93360256962478161;8709588.79601872712373734;8751953.61584982275962830;
Суп гороховый с копченостями;шт.;0.00000000000000000;0.00000000000000000;57033.92316767151351087;116471.61286174520500936;175929.95500388965592720;235818.75512580628856085;296395.42287883255630732;357835.04223199049010873;420262.97626050288090482;483772.30314249877119437;548434.28030333272181451;614305.12508378399070352;681430.60805608634836972;749849.23117712291423231;819594.45187844254542142;890696.25284504529554397;963182.24598556978162378;1037078.45895134808961302;1112409.88614492444321513;1189200.88414675393141806;1267475.44878332037478685;1347257.41430110693909228;1428570.59457220113836229;1511438.88519495492801070;1595886.33555874670855701;1681937.20050502498634160;1769615.98050588811747730;1858947.45103648374788463;1949956.68240615888498724;2042669.05299406335689127;2137110.27069070516154170;2233306.37687181355431676;2331283.75536436913534999;2431069.14213330391794443;2532689.62969789188355207;2636172.67737021995708346;2741546.11464135022833943;2848838.14727315725758672;2863181.87106644921004772;2878159.45964149432256818;2893359.85298288380727172;2908645.94180169608443975;2923971.46466850349679589;2939320.27763189794495702;2954686.20480719720944762;2970066.35679408721625805;2985458.92140843486413360;3000862.42463008407503366;3016275.48305272124707699;3031696.72630078066140413;3047124.76910308049991727;3062558.20216260012239218;3077995.59320332808420062;3093435.47592122713103890;3108876.35745487548410892;3124316.71416627196595073;3139754.99008502531796694;3155189.59900261275470257;3170618.92297932552173734;3186041.31529634818434715;
Фрикасе из курицы с зеленым горошком;шт.;0.00000000000000000;0.00000000000000000;177067.65822831395780668;361598.05593022773973644;546192.57124531362205744;732123.48755712050478905;920189.95945835392922163;1110935.55312107689678669;1304749.47109913802705705;1501920.68367838067933917;1702670.41614397894591093;1907173.20295710698701441;2115571.14345687953755260;2327983.76912705739960074;2544514.95278843957930803;2765257.77794972108677030;2990297.97112032398581505;3219716.33590739406645298;3453590.47110495530068874;3691995.99269982753321528;3935007.39841413311660290;4182698.68467003013938665;4435143.78420543391257524;4692416.88237483985722065;4954592.64286375138908625;5221746.36944815330207348;5493954.12689986079931259;5771292.83098361920565367;6053840.31330993864685297;6341675.36990451626479626;6634877.80821559205651283;6933528.47501959186047316;7237709.28430232033133507;7547503.24031708668917418;7862994.45675064623355865;8184268.18317222315818071;8511410.81668616645038128;8844509.92261019535362720;8889041.48430985212326050;8935540.94339319691061974;8982732.11932777985930443;9030189.34697340801358223;9077769.00511506013572216;9125420.96787601150572300;9173126.06176510825753212;9220875.32184932753443718;9268663.11775892786681652;9316484.87027325481176376;9364336.28646210581064224;9412213.11406631395220757;9460111.05359899625182152;9508025.73153491690754890;9555952.69429457560181618;9603887.39315068162977695;9651825.19222305901348591;9699761.35949372686445713;9747691.06681854836642742;9795609.39140675216913223;9843511.31210396438837051;9891391.71111158095300198;
