Name;Measure;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;
Азу из говядины с картофелем;шт.;0.00000000000000000;0.00000000000000000;348077.98693390114931390;710826.15903303097002208;1073700.37294894922524691;1439201.67162433220073581;1808901.02598968590609729;2183866.97354687890037894;2564864.60519622731953859;2952461.97570631839334965;3347093.96820289781317115;3749103.68069865321740508;4158770.45053922897204757;4576329.25211398955434561;5001984.27759749535471201;5435918.50941778533160686;5878300.46736574638634920;6329288.99521342013031244;6789036.63595895376056433;7257692.03545758221298456;7735401.63981856685131788;8222310.91033560317009687;8718565.18347760103642941;9224310.29304024018347263;9739693.01169444620609283;10264861.36975271627306938;10799964.89497532881796360;11345154.78826857171952724;11900584.05167579278349876;12466407.57856021448969841;13042782.25692067109048367;13629867.01360820792615414;14227822.87291110493242741;14836813.00371788628399372;15457002.75855774991214275;16088559.71864836663007736;16731653.72283083386719227;17386456.90586889535188675;17473996.64283180236816406;17565404.85637349262833595;17658172.84024908766150475;17751463.82467924058437347;17844995.48130328953266144;17938669.27484631910920143;18032447.51337990909814835;18126312.57274435833096504;18220253.38676019012928009;18314260.95200934633612633;18408326.83077822625637054;18502442.66150313615798950;18596599.99302449077367783;18690790.22857639566063881;18785004.61484924331307411;18879234.20976653695106506;18973469.89705559238791466;19067702.37733445316553116;19161922.16017499193549156;19256119.56552515178918839;19350284.72317549213767052;19444407.57443667948246002;
Баклажаны с томатом Неаполь;шт.;0.00000000000000000;0.00000000000000000;250942.18656286163604818;512460.64764130645198748;774069.97688746312633157;1037573.26773422397673130;1304103.09121731156483293;1574429.79462110297754407;1849104.96065255603753030;2128538.12017537141218781;2413042.79651541355997324;2702866.34176428942009807;2998210.14069230947643518;3299243.59471238311380148;3606113.91336281457915902;3918953.01597072649747133;4237882.39423655997961760;4563016.56432203482836485;4894465.49998487159609795;5232336.36548743303865194;5576734.73917005956172943;5927765.48906154278665781;6285533.39411310013383627;6650143.59142715204507113;7021701.89596094284206629;7400315.02654784079641104;7786090.78260136954486370;8179138.17144793644547462;8579567.49764564447104931;8987490.42947431467473507;9403020.07333120517432690;9826271.00507201440632343;10257359.31526457890868187;10696402.63605577498674393;11143520.17540111206471920;11598832.74916651658713818;12062462.80328874103724957;12534534.43274059332907200;12597645.03997362963855267;12663544.57266638055443764;12730424.41422425210475922;12797681.30782372690737247;12865111.70803393423557281;12932644.58063830994069576;13000252.75385942682623863;13067923.51713401824235916;13135648.89412554353475571;13203422.39586432650685310;13271237.93819920718669891;13339089.49224010109901428;13406970.96626524440944195;13474876.16082297079265118;13542798.76874319277703762;13610732.33846239931881428;13678670.30087964981794357;13746605.95162949711084366;13814532.44839352928102016;13882442.81419888325035572;13950329.93017261661589146;14018186.54519108682870865;
Лапша куриная;шт.;0.00000000000000000;0.00000000000000000;188136.91378718824125826;384203.09476528572849929;580337.40162239631172270;777891.65358064672909677;977714.96380964503623545;1180384.87912820838391781;1386314.93270748807117343;1595812.15979705005884171;1809111.61577927274629474;2026398.74520784174092114;2247824.53071975195780396;2473515.97689484292641282;2703583.44977407669648528;2938125.85197265492752194;3177234.26833147555589676;3420994.55491755716502666;3669489.16082827420905232;3922798.42981626139953732;4181001.51649362081661820;4444177.04312033858150244;4712403.56403294578194618;4985759.90303780697286129;5264325.39066420495510101;5548180.03806346282362938;5837404.66440766770392656;6132080.99499145243316889;6432291.72791554220020771;6738120.58181194029748440;7049652.35663207061588764;7366972.95231209415942430;7690169.40325944405049086;8019329.90270890574902296;8354543.82241821102797985;8695901.74079401791095734;9043495.45774483121931553;9397418.01252563111484051;9444733.43131079897284508;9494139.77040052041411400;9544281.06969114579260349;9594705.05131994932889938;9645259.11580214463174343;9695890.00637745670974255;9746577.34994432888925076;9797311.61915073730051517;9848086.83343888260424137;9898898.12889888696372509;9949740.94300511106848717;10000610.75661033950746059;10051503.00035335868597031;10102413.02764793485403061;10153336.10944875143468380;10204267.41122642531991005;10255202.00670724734663963;10306134.86891062557697296;10357060.86794214136898518;10407974.77242511510848999;10458871.24489079229533672;10509744.85170125029981136;
Плов с курицей;шт.;0.00000000000000000;0.00000000000000000;313340.72635896864812821;639887.59228448849171400;966547.92138947767671198;1295573.15927116083912551;1628377.49797682766802609;1965922.83766742772422731;2308897.91540074022486806;2657814.09570853225886822;3013062.86136569455265999;3374953.06988208554685116;3743736.18184520024806261;4119623.72160153603181243;4502799.50350569747388363;4893428.24900865741074085;5291661.66028976999223232;5697642.72841192409396172;6111508.77355706226080656;6533393.60539873596280813;6963429.05702405609190464;7401746.07294350117444992;7848475.48510095849633217;8303748.57274146098643541;8767697.46158364973962307;9240455.40929649770259857;9722157.02139971777796745;10212938.40890411287546158;10712937.30379647761583328;11222293.14281968772411346;11741147.15513056144118309;12269642.40836828015744686;12807923.85816576145589352;13356138.38878376036882401;13914434.84978332184255123;14482964.09915038757026196;15061879.02602657675743103;15651334.58660962618887424;15730138.09072612412273884;15812424.00606843270361423;15895933.99029179662466049;15979914.78220869414508343;16064112.22848752886056900;16148437.62550513632595539;16232857.04437269642949104;16317354.61956108175218105;16401920.38846281543374062;16486546.24785606749355793;16571224.60020077787339687;16655947.92101962864398956;16740708.60130490548908710;16825498.90103003382682800;16910310.94091817736625671;16995136.67131502553820610;17079967.88693284243345261;17164796.21530973538756371;17249613.11265675723552704;17334409.86720513924956322;17419177.59203745424747467;17503907.23169964551925659;
Суп гороховый с копченостями;шт.;0.00000000000000000;0.00000000000000000;114067.84633534302702174;232943.22572349041001871;351859.91000777931185439;471637.51025161257712170;592790.84575766511261463;715670.08446398098021746;840525.95252100576180965;967544.60628499754238874;1096868.56060666544362903;1228610.25016756798140705;1362861.21611217269673944;1499698.46235424582846463;1639188.90375688509084284;1781392.50569009059108794;1926364.49197113956324756;2074156.91790269617922604;2224819.77228984888643026;2378401.76829350786283612;2534950.89756664074957371;2694514.82860221387818456;2857141.18914440227672458;3022877.77038990985602140;3191772.67111749341711402;3363874.40101004997268319;3539231.96101177623495460;3717894.90207296749576926;3899913.36481231776997447;4085338.10598812671378255;4274220.54138141032308340;4466612.75374362710863352;4662567.51072873827069998;4862138.28426660783588886;5065379.25939578376710415;5272345.35474043991416693;5483092.22928270045667887;5697676.29454631451517344;5726363.74213289842009544;5756318.91928298864513636;5786719.70596576761454344;5817291.88360339216887951;5847942.92933700699359179;5878640.55526379588991404;5909372.40961439441889524;5940132.71358817443251610;5970917.84281686972826719;6001724.84926016815006733;6032550.96610544249415398;6063393.45260156132280827;6094249.53820616099983454;6125116.40432520024478436;6155991.18640665616840124;6186870.95184245426207781;6217752.71490975096821785;6248633.42833254393190145;6279509.98017005063593388;6310379.19800522550940514;6341237.84595865104347467;6372082.63059269636869431;
Фрикасе из курицы с зеленым горошком;шт.;0.00000000000000000;0.00000000000000000;354135.31645662791561335;723196.11186045547947288;1092385.14249062724411488;1464246.97511424100957811;1840379.91891670785844326;2221871.10624215379357338;2609498.94219827605411410;3003841.36735676135867834;3405340.83228795789182186;3814346.40591421397402883;4231142.28691375907510519;4655967.53825411479920149;5089029.90557687915861607;5530515.55589944217354059;5980595.94224064797163010;6439432.67181478813290596;6907180.94220991060137749;7383991.98539965506643057;7870014.79682826623320580;8365397.36934006027877331;8870287.56841086782515049;9384833.76474967971444130;9909185.28572750277817249;10443492.73889630660414696;10987908.25379972159862518;11542585.66196723841130733;12107680.62661987729370594;12683350.73980903252959251;13269755.61643118411302567;13867056.95003918372094631;14475418.56860464066267014;15095006.48063417337834835;15725988.91350129246711731;16368536.36634444631636143;17022821.63337233290076256;17689019.84522039070725441;17778082.96861970424652100;17871081.88678639382123947;17965464.23865555971860886;18060378.69394681602716446;18155538.01023012027144432;18250841.93575202301144600;18346252.12353021651506424;18441750.64369865506887436;18537326.23551785573363304;18632969.74054650962352753;18728672.57292421162128448;18824426.22813262790441513;18920222.10719799250364304;19016051.46306983381509781;19111905.38858915120363235;19207774.78630136325955391;19303650.38444611802697182;19399522.71898745372891426;19495382.13363709673285484;19591218.78281350433826447;19687022.62420792877674103;19782783.42222316190600395;
