Лапша куриная;шт.;Расход
Корень сельдерея;кг.;0.012
Крылья куриные;кг.;0.12
Куриный бульон концентрированный;кг.;0.06
Лавровый лист;кг.;0.0006
Лапша яичная;кг.;0.06
Лук репка;кг.;0.036
Морковь;кг.;0.036
Перец черный молотый;кг.;0.0012
Соль;кг.;0.0042
Упаковка;шт.;1
