Какой-то лишний продукт;шт.;Расход
Баклажаны;кг.;0.432
Итальянские травы;кг.;0.003
Лук репка;кг.;0.072
Масло растительное;кг.;0.012
Перец черный молотый;кг.;0.0012
Соль;кг.;0.0042
Томаты в собственном соку;кг.;0.12
Упаковка;шт.;1
Чеснок;кг.;0.003
